Número de Vértices (numVertices),Melhor Caso (iterações),Caso Médio (iterações),Pior Caso (iterações)
5,55,67,80
10,210,260,310
20,820,1020,1220
30,1830,2280,2730
50,5050,6300,7550
70,9870,12320,14770
100,20100,25100,30100
150,45150,56400,67650
200,80200,100200,120200
300,180300,225300,270300
